Column1,Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl,dict_stress,has_suffix
20,Mustafa,117.353,117.413,m,117.053,117.413,choqum,117.053,118.7030465,choqum öginimenghu dep he,consonant,117.366,117.4,1,2,2,0,1,2,0
21,Mustafa,117.6253741,117.793,ø,117.6253741,118.322488,öginimenghu,117.053,118.7030465,choqum öginimenghu dep he,vowel,117.666,117.7,0,5,1,0,0,1,1
22,Mustafa,117.823,117.853,i,117.6253741,118.322488,öginimenghu,117.053,118.7030465,choqum öginimenghu dep he,vowel,117.833,117.866,0,5,3,0,0,1,1
23,Mustafa,117.953,118.043,ɛ,117.6253741,118.322488,öginimenghu,117.053,118.7030465,choqum öginimenghu dep he,consonant,117.966,118,0,5,4,0,1,1,1
24,Mustafa,127.4448,127.4748,m,127.0605562,127.4748,alim,126.4048,128.3002,oqughuchi alim bolar,consonant,127.466,127.5,1,2,2,0,1,?,0
25,Mustafa,135.6425,135.8225,s,135.4225,135.9055,kelsun,134.9925,135.9055,chongdin kelsun,consonant,135.666,135.7,1,2,2,1,1,1,1
26,Mustafa,182.0475,190.999,,182.0475,190.999,,182.0475,189.5580787,,consonant,189.8,189.833,,,,,,,
27,Mustafa,191.239,191.269,i,190.999,191.269,dunyadiki,190.9984257,192.9805495,dunyadiki eng dangliq uniwérsitétning birsi denge bu,vowel,191.266,191.3,1,4,4,0,0,2,1
28,Gulnisa,12.1586,12.22282811,n,11.8986,12.63273223,ögense,10.6086,14.6849,shu men deymen uyghur tilini ögense bashqa tillarghimu yol échilidu,consonant,12.166,12.2,0,3,2,0,1,1,1
29,Gulnisa,13.4086,13.45268137,t,13.4086,13.8086,tillarghimu,10.6086,14.6849,shu men deymen uyghur tilini ögense bashqa tillarghimu yol échilidu,consonant,13.433,13.466,0,4,1,1,1,1,1
30,Gulnisa,15.9466,16.0066,i,15.33662116,16.3666,özbékchinimu,14.9866,17.46276827,mesilen özbékchinimu chüshinish asan,vowel,15.966,16,0,5,4,0,0,1,1
31,Gulnisa,17.9597,18.0697,a,17.7097,18.17899698,qazaq,17.7097,18.89290416,qazaq qirghiz,vowel,18,18.033,1,2,2,0,1,2,0
32,Gulnisa,18.43446872,18.5283773,r,18.17899698,18.89260217,qirghiz,17.7097,18.89290416,qazaq qirghiz,consonant,18.5,18.566,0,2,1,0,1,2,0
