subject,word,syllable,start_time,end_time,word_len_syls,syl_position,closed_syl,is_initial,is_final,is_penultimate,is_first_heavy,is_last_heavy,preceding_heavy,following_heavy,gesture
A,za.lim,lim,120.977,121.107,2,1,True,False,True,False,True,True,False,False,0
A,o.qut.qu.chi.mu,o,121.107,121.187,5,0,False,True,False,False,False,False,False,True,0
A,o.qut.qu.chi.mu,qut,121.187,121.317,5,1,True,False,False,False,True,True,False,False,0
A,o.qut.qu.chi.mu,qu,121.317,121.457,5,2,False,False,False,False,False,False,True,False,0
A,o.qut.qu.chi.mu,t͡ʃi,121.457,121.687,5,3,False,False,False,True,False,False,True,False,0
A,o.qut.qu.chi.mu,mu,121.687,121.747,5,4,False,False,True,False,False,False,True,False,0
A,za.lim,za,125.0911,125.4411,2,0,False,True,False,True,False,False,False,True,0
A,za.lim,lim,125.4411,125.5811,2,1,True,False,True,False,True,True,False,False,0
A,bol.sa,bol,125.5811,125.8511,2,0,True,True,False,True,True,True,False,False,0
A,bol.sa,sa,125.8511,126.22173977710575,2,1,False,False,True,False,False,False,True,False,0
A,a.lim,a,127.0607,127.3207,2,0,False,True,False,True,False,False,False,True,0
A,a.lim,lim,127.3207,127.4707,2,1,True,False,True,False,True,True,False,False,0
A,bo.lar,bo,127.4707,127.5307,2,0,False,True,False,True,False,False,False,True,0
A,bo.lar,lar,127.5307,128.3079,2,1,True,False,True,False,True,True,False,False,0
A,za.lim,za,128.43256534778325,128.8151,2,0,False,True,False,True,False,False,False,True,0
A,za.lim,lim,128.8151,128.9751,2,1,True,False,True,False,True,True,False,False,0
A,o.qut.qu.chi.mu,o,128.9751,129.0351,5,0,False,True,False,False,False,False,False,True,0
A,o.qut.qu.chi.mu,qut,129.0351,129.2051,5,1,True,False,False,False,True,True,False,False,0
A,o.qut.qu.chi.mu,qu,129.2051,129.2651,5,2,False,False,False,False,False,False,True,False,0
A,o.qut.qu.chi.mu,t͡ʃi,129.2651,129.3951,5,3,False,False,False,True,False,False,True,False,0
A,o.qut.qu.chi.mu,mu,129.3951,129.5251,5,4,False,False,True,False,False,False,True,False,0
A,la.zim,la,129.5251,129.7151,2,0,False,True,False,True,False,False,False,True,0
