Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl
Elise (C),226.0466,226.1166,n,225.9466,226.1166,مەن,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,226.066,226.1,1,1,,,
Elise (C),226.2966,226.3966,ʁ,226.1466,226.4766,ئۇيغۇر,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,226.333,226.366,1,2,,,
Elise (C),226.6766,226.7466,ɛ,226.4766,226.7466,دەسە,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,226.7,226.733,,,,,
Elise (C),227.7666,228.0066,,227.7666,228.0066,,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,227.833,227.866,,,,,
Elise (C),228.1266,228.2166,z,228.0966,228.3066,ئۆزىنى,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,228.166,228.2,0,3,,,
Elise (C),228.5266,228.5766,a,228.3066,228.6966,قانداق,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,vowel,228.566,228.6,,,,,
Elise (C),229.01726,229.0883351,r,228.6966,229.0883351,ئۇيغۇر,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,229.033,229.066,1,2,,,
Elise (C),229.0883351,229.4966,,229.0883351,229.4966,,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,229.366,229.4,0,0,,,
Elise (C),229.5766,229.6766,p,229.4966,229.6766,دەپ,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,229.633,229.666,1,1,,,
Elise (C),230.5666,230.6466,l,230.3266,230.7166,تىلنى,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,230.633,230.666,1,2,,,
Elise (C),232.7862,233.0062,ʃ,232.7862,233.0562,شۇ,232.1962,234.0262,ئەڭ مۇھىمى شۇ تىلنى ئۇنتۇماڭلار,consonant,232.833,232.866,1,1,,,
Elise (C),233.1762,233.2862,i,233.0562,233.2862,تىلنى,232.1962,234.0262,ئەڭ مۇھىمى شۇ تىلنى ئۇنتۇماڭلار,vowel,233.2,233.233,,,,,
Elise (C),235.3538,235.6638,,235.3538,235.6638,,234.5634473,239.6338,مۇشۇ ئەتراپتىكى مۇشۇ دوستۇڭلارغىمۇ ئۇيغۇرچە ئۆگىتىڭلار ئۇيغۇرلار توغرىلىق كۆپرەك سۆزلەپ بېرىڭلار,consonant,235.533,235.566,,,,,
Elise (C),237.6838,237.8038,a,237.3738,237.8338,ئۇيغۇرلار,234.5634473,239.6338,مۇشۇ ئەتراپتىكى مۇشۇ دوستۇڭلارغىمۇ ئۇيغۇرچە ئۆگىتىڭلار ئۇيغۇرلار توغرىلىق كۆپرەك سۆزلەپ بېرىڭلار,vowel,237.766,237.8,1,3,,,
Elise (C),238.0838,238.1838,q,237.8338,238.1838,توغرىلىق,234.5634473,239.6338,مۇشۇ ئەتراپتىكى مۇشۇ دوستۇڭلارغىمۇ ئۇيغۇرچە ئۆگىتىڭلار ئۇيغۇرلار توغرىلىق كۆپرەك سۆزلەپ بېرىڭلار,consonant,238.133,238.166,1,3,,,
Elise (C),242.2964,256.658937,,242.2964,256.658937,,242.2962552,255.1675,,consonant,242.733,242.766,,,,,
Gulnisa (R),25.58178891,25.66722433,a,25.4955,26.2455,قازاقىستانغا,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,vowel,25.6,25.633,,,,,
Gulnisa (R),26.6455,26.6955,d,26.2455,26.99540397,بارغاندىچۇ,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,26.633,26.666,0,4,,,
Gulnisa (R),27.15917652,27.43633666,ɛ,26.99540397,27.5855,نەگىلا,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,27.166,27.2,0,2,,,
Gulnisa (R),27.8055,27.8655,a,27.5855,27.9155,بارسام,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,vowel,27.8,27.833,,,,,
Gulnisa (R),27.9955,28.1155,l,27.9155,28.4455,ئالماتى,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,28.033,28.066,0,3,,,
Gulnisa (R),28.2755,28.3655,t,27.9155,28.4455,ئالماتى,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,28.233,28.266,1,3,,,
Gulnisa (R),29.0955,29.2755,ɛ,28.9955,29.4055,نەگە,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,29.166,29.2,,,,,
